Time,Io,I3
0.04044350000013304,0.80243045630368215,1.3069792430542293
0.040443600000133043,0.80239033195539378,1.3073802733742923
0.040443700000133045,0.80235022181796012,1.30778131790521
0.040443800000133048,0.8023101045750991,1.3081823340144183
0.040443900000133051,0.80226998733223809,1.3085833927561907
0.040444000000133054,0.80222987719480443,1.3089844230762537
0.040444100000133057,0.80218975284651606,1.3093854676071714
0.04044420000013306,0.80214965691993712,1.3097864979272344
0.040444300000133063,0.80210954678250346,1.3101875424581522
0.040444400000133066,0.80206944375049716,1.3105885727782152
0.040444500000133068,0.8020293336130635,1.3109896030982782
0.040444600000133071,0.8019892305810572,1.3113906476291959
0.040444700000133074,0.80194913465447826,1.3117916779492589
0.040444800000133077,0.80190904583332667,1.3121926940584672
0.04044490000013308,0.80186894280132037,1.3125937385893849
0.040445000000133083,0.80182884687474143,1.3129947689094479
0.040445100000133086,0.8017887651590172,1.3133957992295109
0.040445200000133089,0.80174866923243826,1.3137968437604286
0.040445300000133091,0.80170858751671403,1.3141978740804916
0.040445400000133094,0.80166849869556245,1.314598932822264
0.040445500000133097,0.80162842408526558,1.314999963142327
0.0404456000001331,0.80158833526411399,1.31540099346239
0.040445700000133103,0.80154825354838977,1.315802023782453
0.040445800000133106,0.8015081789380929,1.3162030683133707
0.040445900000133109,0.80146810432779603,1.3166040986334338
0.040446000000133112,0.80142803682292652,1.317005114742642
0.040446100000133114,0.801387969318057,1.3174061734844145
0.040446200000133117,0.80134789470776013,1.3178072038044775
0.04044630000013312,0.80130782009746326,1.3182082341245405
0.040446400000133123,0.80126775259259375,1.3186092786554582
0.040446500000133126,0.8012276921931516,1.3190103089755212
0.040446600000133129,0.80118762468828209,1.3194113392955842
0.040446700000133132,0.80114757849969465,1.3198123838265019
0.040446800000133135,0.80110751810025249,1.3202134141465649
0.040446900000133137,0.80106746480623769,1.3206144586774826
0.04044700000013314,0.8010274115122229,1.3210154889975456
0.040447100000133143,0.8009873582182081,1.3214165193176086
0.040447200000133146,0.8009473049241933,1.3218175638485263
0.040447300000133149,0.80090725873560586,1.3222185941685893
0.040447400000133152,0.80086721965244578,1.3226196244886523
0.040447500000133155,0.80082717346385834,1.3230206548087153
0.040447600000133158,0.80078713438069826,1.3234217135504878
0.04044770000013316,0.80074710240296554,1.3238227296596961
0.040447800000133163,0.80070706331980546,1.3242237599797591
0.040447900000133166,0.80066702423664537,1.3246248045106768
0.040448000000133169,0.80062699225891265,1.3250258348307398
0.040448100000133172,0.80058696028117993,1.3254268793616575
0.040448200000133175,0.8005469283034472,1.3258279096817205
0.040448300000133178,0.80050690343114184,1.3262289542126382
0.040448400000133181,0.80046687855883647,1.3266299703218465
0.040448500000133183,0.80042686079195846,1.3270310148527642
0.040448600000133186,0.80038683591965309,1.3274320451728272
