Time,vL
0.39830330001042352,74.997457638814453
0.39830340001042353,74.997456358599408
0.39830350001042353,74.997455078384377
0.39830360001042353,74.997453798169374
0.39830370001042353,74.997452517954386
0.39830380001042354,74.997451237739412
0.39830390001042354,74.997449957524466
0.39830400001042354,74.997448677309549
0.39830410001042355,74.997447397094646
0.39830420001042355,74.997446116879757
0.39830430001042355,74.997444836664897
0.39830440001042355,74.997443556450051
0.39830450001042356,74.997442276235233
0.39830460001042356,74.99744099602043
0.39830470001042356,74.997439715805641
0.39830480001042357,74.997438435590894
0.39830490001042357,74.997437155376147
0.39830500001042357,74.997435875161429
0.39830510001042357,74.997434594946725
0.39830520001042358,74.997433314732049
0.39830530001042358,74.997432034517402
0.39830540001042358,74.997430754302755
0.39830550001042359,74.99742947408815
0.39830560001042359,74.997428193873546
0.39830570001042359,74.997426913658984
0.39830580001042359,74.997425633444422
0.3983059000104236,74.997424353229889
0.3983060000104236,74.997423073015383
0.3983061000104236,74.997421792800893
0.39830620001042361,74.997420512586416
0.39830630001042361,74.997419232371968
0.39830640001042361,74.997417952157548
0.39830650001042361,74.997416671943128
0.39830660001042362,74.997415391728751
0.39830670001042362,74.997414111514374
0.39830680001042362,74.997412831300039
0.39830690001042363,74.997411551085705
0.39830700001042363,74.997410270871399
0.39830710001042363,74.997408990657121
0.39830720001042363,74.997407710442857
0.39830730001042364,74.997406430228608
0.39830740001042364,74.997405150014387
0.39830750001042364,74.997403869800195
0.39830760001042365,74.997402589586002
0.39830770001042365,74.997401309371853
0.39830780001042365,74.997400029157703
0.39830790001042365,74.997398748943596
0.39830800001042366,74.997397468729488
0.39830810001042366,74.99739618851541
0.39830820001042366,74.997394908301359
0.39830830001042367,74.997393628087323
0.39830840001042367,74.997392347873316
0.39830850001042367,74.997391067659308
0.39830860001042367,74.997389787445343
0.39830870001042368,74.997388507231392
0.39830880001042368,74.997387227017455
0.39830890001042368,74.997385946803547
0.39830900001042369,74.997384666589653
0.39830910001042369,74.997383386375787
0.39830920001042369,74.997382106161936
0.39830930001042369,74.997380825948099
0.3983094000104237,-44.18169369957748
0.3983095000104237,-44.192675253292592
0.3983096000104237,-44.20364960192444
0.39830970001042371,-44.214614343358036
0.39830980001042371,-44.225569476963713
0.39830990001042371,-44.236515002113705
0.39831000001042371,-44.247450918182082
0.39831010001042372,-44.258377224544788
0.39831020001042372,-44.269293920579443
0.39831030001042372,-44.280201005665688
0.39831040001042373,-44.291098479184924
0.39831050001042373,-44.301986340520386
0.39831060001042373,-44.312864589057142
0.39831070001042373,-44.323733224182106
0.39831080001042374,-44.334592245284156
0.39831090001042374,-44.345441651753831
0.39831100001042374,-44.356281442983487
0.39831110001042375,-44.367111618367431
0.39831120001042375,-44.377932177301844
0.39831130001042375,-44.388743119184554
0.39831140001042376,-44.399544443415436
0.39831150001042376,-44.410336149396059
0.39831160001042376,-44.421118236529892
0.39831170001042376,-44.431890704222212
0.39831180001042377,-44.442653551880127
0.39831190001042377,-44.453406778912552
0.39831200001042377,-44.464150384730402
0.39831210001042378,-44.474884368746189
0.39831220001042378,-44.485608730374409
0.39831230001042378,-44.496323469031353
0.39831240001042378,-44.507028584135114
0.39831250001042379,-44.517724075105775
0.39831260001042379,-44.528409941365069
0.39831270001042379,-44.539086182336618
0.3983128000104238,-44.549752797445947
0.3983129000104238,-44.560409786120317
0.3983130000104238,-44.571057147788892
0.3983131000104238,-44.581694881882626
0.39831320001042381,-44.592322987834365
0.39831330001042381,-44.6029414650787
0.39831340001042381,-44.613550313052102
0.39831350001042382,-44.624149531192913
0.39831360001042382,-44.634739118941226
0.39831370001042382,-44.64531907573901
0.39831380001042382,-44.655889401030151
0.39831390001042383,-44.666450094260171
0.39831400001042383,-44.677001154876493
0.39831410001042383,-44.687542582328618
0.39831420001042384,-44.698074376067538
0.39831430001042384,-44.708596535546206
0.39831440001042384,-44.719109060219438
0.39831450001042384,-44.729611949543894
0.39831460001042385,-44.740105202978
0.39831470001042385,-44.75058881998207
0.39831480001042385,-44.761062800018209
0.39831490001042386,-44.771527142550326
0.39831500001042386,-44.78198184704425
0.39831510001042386,-44.792426912967585
0.39831520001042386,-44.802862339789741
0.39831530001042387,-44.813288126982016
0.39831540001042387,-44.823704274017516
0.39831550001042387,-44.834110780371176
0.39831560001042388,-44.844507645519755
0.39831570001042388,-44.854894868941784
0.39831580001042388,-44.865272450117715
0.39831590001042388,-44.875640388529803
0.39831600001042389,-44.885998683662095
0.39831610001042389,-44.896347335000513
0.39831620001042389,-44.906686342032742
0.3983163000104239,-44.91701570424847
0.3983164000104239,-44.92733542113902
0.3983165000104239,-44.937645492197589
0.3983166000104239,-44.947945916919252
0.39831670001042391,-44.958236694800902
0.39831680001042391,-44.968517825341237
0.39831690001042391,-44.978789308040689
0.39831700001042392,-44.989051142401721
0.39831710001042392,-44.999303327928459
0.39831720001042392,-45.009545864126977
0.39831730001042392,-45.019778750504997
0.39831740001042393,-45.030001986572245
0.39831750001042393,-45.040215571840207
0.39831760001042393,-45.050419505822234
0.39831770001042394,-45.06061378803345
0.39831780001042394,-45.070798417990886
0.39831790001042394,-45.080973395213206
0.39831800001042394,-45.091138719221092
0.39831810001042395,-45.101294389537003
0.39831820001042395,-45.111440405685244
0.39831830001042395,-45.121576767191826
0.39831840001042396,-45.131703473584679
0.39831850001042396,-45.14182052439358
0.39831860001042396,-45.151927919150069
0.39831870001042397,-45.162025657387559
0.39831880001042397,-45.172113738641315
0.39831890001042397,-45.182192162448331
0.39831900001042397,-45.192260928347451
0.39831910001042398,-45.202320035879382
0.39831920001042398,-45.212369484586631
0.39831930001042398,-45.222409274013572
0.39831940001042399,-45.232439403706238
0.39831950001042399,-45.242459873212709
0.39831960001042399,-45.252470682082873
0.39831970001042399,-45.262471829868204
0.398319800010424,-45.272463316122256
0.398319900010424,-45.28244514040027
0.398320000010424,-45.292417302259253
0.39832010001042401,-45.30237980125824
0.39832020001042401,-45.31233263695789
0.39832030001042401,-45.322275808920821
0.39832040001042401,-45.332209316711356
0.39832050001042402,-45.342133159895738
0.39832060001042402,-45.352047338042013
0.39832070001042402,-45.361951850719933
0.39832080001042403,-45.37184669750124
0.39832090001042403,-45.381731877959382
0.39832100001042403,-45.391607391669666
0.39832110001042403,-45.401473238209263
0.39832120001042404,-45.411329417157077
0.39832130001042404,-45.421175928093888
0.39832140001042404,-45.431012770602237
0.39832150001042405,-45.440839944266571
0.39832160001042405,-45.450657448673056
0.39832170001042405,-45.460465283409761
0.39832180001042405,-45.470263448066575
0.39832190001042406,-45.480051942235136
0.39832200001042406,-45.489830765508941
0.39832210001042406,-45.499599917483323
0.39832220001042407,-45.50935939775546
0.39832230001042407,-45.51910920592421
0.39832240001042407,-45.52884934159043
0.39832250001042407,-45.538579804356644
0.39832260001042408,-45.548300593827264
0.39832270001042408,-45.558011709608479
0.39832280001042408,-45.567713151308354
0.39832290001042409,-45.577404918536772
0.39832300001042409,-45.58708701090535
0.39832310001042409,-45.596759428027624
0.39832320001042409,-45.606422169518879
0.3983233000104241,-45.616075234996273
0.3983234000104241,-45.625718624078687
0.3983235000104241,-45.635352336386831
0.39832360001042411,-45.644976371543393
0.39832370001042411,-45.65459072917271
0.39832380001042411,-45.664195408900966
0.39832390001042411,-45.673790410356119
0.39832400001042412,-45.683375733167964
0.39832410001042412,-45.692951376968253
0.39832420001042412,-45.702517341390418
0.39832430001042413,-45.712073626069639
0.39832440001042413,-45.721620230643069
0.39832450001042413,-45.731157154749582
0.39832460001042413,-45.740684398029956
0.39832470001042414,-45.750201960126674
0.39832480001042414,-45.75970984068401
0.39832490001042414,-45.769208039348186
0.39832500001042415,74.997499885922679
0.39832510001042415,74.997498605706951
0.39832520001042415,74.997497325491253
0.39832530001042415,74.997496045275554
0.39832540001042416,74.997494765059884
0.39832550001042416,74.997493484844242
0.39832560001042416,74.997492204628614
0.39832570001042417,74.997490924413
0.39832580001042417,74.997489644197415
0.39832590001042417,74.997488363981844
0.39832600001042417,74.997487083766302
0.39832610001042418,74.997485803550774
0.39832620001042418,74.997484523335274
0.39832630001042418,74.997483243119788
0.39832640001042419,74.997481962904317
0.39832650001042419,74.997480682688874
0.39832660001042419,74.997479402473459
0.3983267000104242,74.997478122258059
0.3983268000104242,74.997476842042673
0.3983269000104242,74.997475561827315
0.3983270000104242,74.997474281611971
0.39832710001042421,74.997473001396656
0.39832720001042421,74.997471721181356
0.39832730001042421,74.997470440966083
0.39832740001042422,74.997469160750825
0.39832750001042422,74.997467880535595
0.39832760001042422,74.997466600320379
